"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C6","0402C","-903mil","303mil","-903mil","303mil","-903mil","283.315mil","T","180.00","100nF"
"R96","0402","-1166mil","735mil","-1166mil","735mil","-1166mil","754.685mil","T","360.00","27R"
"R95","0402","-1011mil","735mil","-1011mil","735mil","-1011mil","754.685mil","T","360.00","27R"
"R94","0402","-170mil","-258mil","-170mil","-258mil","-170mil","-238.315mil","T","360.00","10k"
"R52","0402","-415.304mil","583mil","-415.304mil","583mil","-415.304mil","602.685mil","T","360.00","1k"
"R51","0402","-484mil","583mil","-484mil","583mil","-484mil","602.685mil","T","0.00","1k"
"R44","0402","-1775mil","-428mil","-1775mil","-428mil","-1775mil","-408.315mil","T","360.00","10k"
"R43","0402","-1810mil","-427mil","-1810mil","-427mil","-1810mil","-446.685mil","T","180.00","10k"
"R42","0402","-1540mil","-593mil","-1540mil","-593mil","-1540mil","-612.685mil","T","180.00","2k2"
"R41","0402","-1589mil","-592mil","-1589mil","-592mil","-1589mil","-611.685mil","T","180.00","2k2"
"C37","0402C","-385mil","-311mil","-385mil","-311mil","-385mil","-291.315mil","T","360.00","100nF"
"C19","0402C","-1669mil","-5mil","-1669mil","-5mil","-1688.685mil","-5mil","T","90.00","100nF"
"C16","0805C","-1138mil","-63mil","-1138mil","-63mil","-1098.63mil","-63mil","T","270.00","10uF"
"RU2","0402","-1067mil","736mil","-1067mil","736mil","-1067mil","716.315mil","T","180.00","0R"
"RU1","0402","-1104mil","735mil","-1104mil","735mil","-1104mil","715.315mil","T","180.00","0R"
"C50","0402C","-1151mil","501mil","-1151mil","501mil","-1151mil","520.685mil","T","360.00","100nF"
"R92","0402","-691mil","-192mil","-691mil","-192mil","-710.685mil","-192mil","T","90.00","DNS"
"R38","0402","-1464mil","-585mil","-1464mil","-585mil","-1464mil","-604.685mil","T","180.00","49R9"
"R36","0402","-1424mil","-585mil","-1424mil","-585mil","-1424mil","-604.685mil","T","180.00","49R9"
"R33","0402","-1597mil","695mil","-1597mil","695mil","-1616.685mil","695mil","T","90.00","120"
"R32","0402","-1597mil","733mil","-1597mil","733mil","-1616.685mil","733mil","T","90.00","120"
"R30","0402","-1729mil","437mil","-1729mil","437mil","-1729mil","417.315mil","T","180.00","5k1"
"R29","0402","-1689mil","436mil","-1689mil","436mil","-1689mil","455.685mil","T","360.00","5k1"
"R28","0402","-1597mil","774mil","-1597mil","774mil","-1577.315mil","774mil","T","270.00","DNS"
"IC13","SSOP16","-1373mil","652mil","-1373mil","652mil","-1483mil","739.5mil","T","360.00","FT230XS"
"D16","SOT23-3","-538mil","-123mil","-538mil","-123mil","-500.598mil","-79.693mil","T","270.00","BAT750"
"C48","0805C","-1369mil","507mil","-1369mil","507mil","-1408.37mil","507mil","T","90.00","10uF"
"C44","0805C","-927mil","-412mil","-927mil","-412mil","-927mil","-372.63mil","T","360.00","10uF"
"C40","0805C","-184mil","-66mil","-184mil","-66mil","-184mil","-105.37mil","T","180.00","10uF"
"C39","0805C","-260mil","-67mil","-260mil","-67mil","-260mil","-106.37mil","T","180.00","10uF"
"C38","0805C","-224mil","-178mil","-224mil","-178mil","-184.63mil","-178mil","T","270.00","10uF"
"C36","CAP_8D_15H_3_5mm","397mil","248mil","397mil","248mil","397mil","179.102mil","T","90.00","470uF"
"C31","0805C","242mil","-424mil","242mil","-424mil","242mil","-384.63mil","T","0.00","10uF"
"C30","0805C","-172mil","-394mil","-172mil","-394mil","-172mil","-433.37mil","T","180.00","10uF"
"C15","0402C","-1741mil","-428mil","-1741mil","-428mil","-1741mil","-447.685mil","T","180.00","100nF"
"C10B","0402C","1463mil","-397mil","1463mil","-397mil","1463mil","-416.685mil","T","180.00","100nF"
"C10A","0402C","701mil","-208mil","701mil","-208mil","681.315mil","-208mil","T","90.00","100nF"
"R97","0402","-1171mil","610mil","-1171mil","610mil","-1171mil","590.315mil","T","180.00","100k"
"L1","0603","-1041mil","481mil","-1041mil","481mil","-1041mil","447.535mil","T","180.00","M121R"
"C46","0402C","-1198mil","735mil","-1198mil","735mil","-1198mil","715.315mil","T","180.00","47pF"
"C45","0402C","-979mil","735mil","-979mil","735mil","-979mil","715.315mil","T","180.00","47pF"
"C1","0402C","-1085mil","495mil","-1085mil","495mil","-1085mil","475.315mil","T","180.00","10nF"
"S4","SCREW_4_40","1712.677mil","68.575mil","1712.677mil","68.575mil","1712.677mil","68.575mil","T","0.00","4-40"
"S3","SCREW_4_40","1279.606mil","-945.205mil","1279.606mil","-945.205mil","1279.606mil","-945.205mil","T","0.00","4-40"
"S2","SCREW_4_40","-1279.449mil","-945.205mil","-1279.449mil","-945.205mil","-1279.449mil","-945.205mil","T","0.00","4-40"
"S1","SCREW_4_40","-1476.378mil","905.512mil","-1476.378mil","905.512mil","-1476.378mil","905.512mil","T","0.00","4-40"
"R17B","0402","-1403mil","166mil","-1403mil","166mil","-1403mil","146.315mil","T","180.00","5k1"
"R17A","0402","-1777mil","165mil","-1777mil","165mil","-1777mil","145.315mil","T","180.00","5k1"
"Q3B","TO-252_DPAK","418mil","-808.134mil","418mil","-766.795mil","418mil","-684.118mil","T","360.00","IPD90P03P4L"
"Q3A","TO-252_DPAK","972mil","-808.134mil","972mil","-766.795mil","1061.764mil","-932.149mil","T","360.00","IPD90P03P4L"
"J2","MOLEX_IGRID_26POS_RA","-246.063mil","722.323mil","-246.063mil","761.693mil","-718.504mil","761.693mil","T","180.00","501876-2640"
"D2","SOT23-6","-579mil","365mil","-579mil","365mil","-616.402mil","322.677mil","T","90.00","SDM10M45SD"
"D6","SOT23-6","-11mil","365mil","-11mil","365mil","-48.402mil","322.677mil","T","90.00","SDM10M45SD"
"R40","0402","-1810mil","-356mil","-1810mil","-356mil","-1810mil","-375.685mil","T","180.00","20k"
"R39","0402","-1214mil","-409mil","-1214mil","-409mil","-1214mil","-428.685mil","T","180.00","100k"
"R16","0402","-953mil","675mil","-953mil","675mil","-953mil","694.685mil","T","360.00","DNS"
"R14","0402","-860mil","675mil","-860mil","675mil","-860mil","694.685mil","T","0.00","DNS"
"R12","0402","-518mil","583mil","-518mil","583mil","-518mil","602.685mil","T","360.00","16k"
"R11","0402","-584mil","583mil","-584mil","583mil","-584mil","602.685mil","T","360.00","16k"
"R10","0402","-1014mil","609mil","-1014mil","609mil","-1014mil","589.315mil","T","180.00","0R"
"R9","0402","-827mil","675mil","-827mil","675mil","-827mil","694.685mil","T","0.00","0R"
"R8","0402","-808mil","303mil","-808mil","303mil","-808mil","283.315mil","T","180.00","DNS"
"R6","0402","-968mil","303mil","-968mil","303mil","-968mil","283.315mil","T","180.00","DNS"
"R4","0402","-651mil","583mil","-651mil","583mil","-651mil","602.685mil","T","360.00","16k"
"R3","0402","-717mil","583mil","-717mil","583mil","-717mil","602.685mil","T","360.00","16k"
"R2","0402","-840mil","303mil","-840mil","303mil","-840mil","283.315mil","T","180.00","0R"
"R1","0402","-1001mil","303mil","-1001mil","303mil","-1001mil","322.685mil","T","360.00","0R"
"J5","HEADER_FEMALE_DUAL_6POS_1_27MM","-1427mil","-711mil","-1427mil","-711mil","-1452mil","-761mil","T","90.00","ICD3"
"J4","PINS_4POS_1_27MM","-1564mil","-684mil","-1564mil","-684mil","-1539mil","-659mil","T","270.00","I2C"
"IC1","TSSOP14","-903mil","480mil","-903mil","480mil","-979.771mil","370.748mil","T","90.00","MCP6004"
"C5","0402C","-551mil","583mil","-551mil","583mil","-551mil","602.685mil","T","360.00","10nF"
"C4","0402C","-618mil","583mil","-618mil","583mil","-618mil","602.685mil","T","360.00","10nF"
"C3","0402C","-684mil","583mil","-684mil","583mil","-684mil","602.685mil","T","360.00","10nF"
"C2","0402C","-750mil","583mil","-750mil","583mil","-750mil","602.685mil","T","360.00","10nF"
"R26B","2512","1314mil","-129mil","1314mil","-129mil","1314mil","-5.968mil","T","360.00","0R15"
"R26A","2512","968mil","-58mil","968mil","-58mil","1091.032mil","-58mil","T","270.00","0R15"
"IC6","SOT23-3","1132mil","-422mil","1132mil","-422mil","1169.402mil","-378.693mil","T","270.00","TC1047A"
"C17","0402C","1222mil","-398mil","1222mil","-398mil","1222mil","-378.315mil","T","360.00","100nF"
"R50D","0402","-963.598mil","-879.394mil","-963.598mil","-879.394mil","-983.283mil","-879.394mil","T","90.00","100k"
"R50C","0402","-407.598mil","-879.394mil","-407.598mil","-879.394mil","-427.283mil","-879.394mil","T","90.00","100k"
"R49D","0402","-963.598mil","-842.394mil","-963.598mil","-842.394mil","-983.283mil","-842.394mil","T","90.00","10k"
"R49C","0402","-407.598mil","-842.394mil","-407.598mil","-842.394mil","-427.283mil","-842.394mil","T","90.00","10k"
